"","1. ","2. ","3. ","4. ","5. ","6. ","7. ","8. ","9. ","10. ","11. ","12. ","13. ","14. ","15. ","16. ","17. ","18. ","19. ","20. ","21. ","22. ","23. ","24. ","25. ","26. ","27. ","28. ","29. ","30. ","31. ","32. ","33. ","34. ","35. ","36. ","37. ","38. "
"28. Mother Warmth T2",-0.29,"-0.41","-0.36","-0.3","-0.2","-0.23","-0.19","-0.19","0.14","0.16","0.16","0.16","0.02","0.03","0.05","0.07","0.1","0.03","0.31","0.45","0.31","0.23","0.11","0.1","0.1","0.08","0.61","1","","","","","","","","","",""
"29. Mother Warmth T3",-0.29,"-0.36","-0.42","-0.34","-0.21","-0.24","-0.21","-0.25","0.15","0.15","0.17","0.19","0.05","0.07","0.11","0.12","0.09","0.02","0.3","0.31","0.46","0.25","0.15","0.09","0.09","0.06","0.6","0.69","1","","","","","","","","",""
"30. Mother Warmth T4",-0.3,"-0.36","-0.37","-0.41","-0.18","-0.22","-0.21","-0.22","0.15","0.15","0.17","0.25","0.04","0.07","0.09","0.13","0.1","0.03","0.28","0.31","0.31","0.4","0.1","0.08","0.09","0.05","0.55","0.62","0.69","1","","","","","","","",""
"31. Father Warmth T1",-0.16,"-0.14","-0.16","-0.12","-0.38","-0.26","-0.25","-0.26","0.08","0.08","0.05","0.05","0.13","0.15","0.15","0.17","0.03","0.26","0.17","0.15","0.15","0.12","0.53","0.34","0.29","0.27","0.3","0.26","0.28","0.25","1","","","","","","",""
"32. Father Warmth T2",-0.16,"-0.22","-0.24","-0.18","-0.35","-0.41","-0.37","-0.35","0.09","0.1","0.1","0.09","0.12","0.2","0.18","0.2","0.05","0.21","0.13","0.15","0.09","0.09","0.36","0.47","0.29","0.28","0.25","0.29","0.29","0.26","0.68","1","","","","","",""
"33. Father Warmth T3",-0.15,"-0.17","-0.24","-0.21","-0.32","-0.35","-0.45","-0.39","0.09","0.08","0.1","0.08","0.14","0.17","0.22","0.22","0.01","0.22","0.13","0.12","0.12","0.1","0.32","0.31","0.41","0.31","0.24","0.27","0.29","0.27","0.63","0.69","1","","","","",""
"34. Father Warmth T4",-0.14,"-0.19","-0.21","-0.21","-0.28","-0.32","-0.35","-0.41","0.11","0.1","0.08","0.09","0.14","0.19","0.19","0.28","0.04","0.2","0.14","0.14","0.14","0.12","0.3","0.36","0.34","0.46","0.25","0.24","0.29","0.3","0.59","0.67","0.73","1","","","",""
"35. Emo. adj. T1",-0.05,"-0.01","0.01","-0.01","-0.04","0.02","0","-0.02","0.05","0.03","0.02","0.04","0.06","0.03","0.05","0.09","-0.11","0.01","-0.02","0.02","0.01","0","-0.01","0.01","0","-0.05","-0.02","-0.01","-0.02","-0.01","0","-0.02","-0.04","-0.05","1","","",""
"36. Emo. adj. T2",-0.08,"-0.13","-0.12","-0.1","-0.05","-0.1","-0.11","-0.13","0.04","0.07","0.07","0.06","0.04","0.07","0.07","0.1","-0.03","0","0","-0.01","-0.01","-0.01","-0.04","-0.03","-0.09","-0.1","0.05","0.06","0.07","0.08","0.03","0.04","0.07","0.01","0.22","1","",""
"37. Emo. adj. T3",-0.1,"-0.08","-0.11","-0.1","-0.06","-0.13","-0.1","-0.12","0.04","0.08","0.05","0.04","0.05","0.06","0.1","0.09","-0.07","-0.03","0","0.03","-0.04","-0.05","0.01","-0.02","0","-0.03","0.03","0.06","0.05","0.02","0.01","0.03","0.06","0.05","0.26","0.29","1",""
"38. Emo. adj. T4",-0.06,"-0.04","-0.08","-0.09","-0.05","-0.1","-0.04","-0.09","0.03","0.07","0.04","0.06","0","0.06","0.04","0.07","-0.08","0.04","-0.05","0.01","-0.02","-0.03","0.03","0.02","0.02","0.02","-0.01","0.01","0.02","0.03","0.05","0.07","0.08","0.11","0.16","0.22","0.37","1"
